,asset,sim_name,scen_id,std_unit,w_sharp,sharp_ratio_3m,sharp_ratio_6m,sharp_ratio_1y,sharp_ratio_2y,sharp_ratio_3y,tot_pnl_3m,tot_pnl_6m,tot_pnl_1y,tot_pnl_2y,tot_pnl_3y,tot_cost_3m,tot_cost_6m,tot_cost_1y,tot_cost_2y,tot_cost_3y,par_name0,par_value0,par_name1,par_value1,par_name2,par_value2,par_name3,par_value3,par_name4,par_value4,freq,channels,ma_chan,price_mode,lookbacks,ratios,trend_factor,lot_size,min_rng,vol_ratio,volumes
58,rb,DTvec_pct10_180214,60,471.424,0.932723,-0.359599,-0.126899,0.772747,1.62251,1.49281,-45.0,-42.0,576.0,2526.0,2901.0,60.0,112.0,207.0,402.0,606.0,param,"[0.25, 2, 0.5, 0.0]",chan,11,mode,HL,,0,,0,1,11,0,HL,2,0.25,0.5,10,0.0035,"[0.0, 1.0]",[1]
59,rb,DTvec_dchan_180214,126,496.658,0.9194514,-1.38426,-0.055963,1.00982,1.31679,1.11549,-183.0,-19.0,793.0,2005.0,2120.0,61.0,110.0,201.0,392.0,592.0,param,"[0.25, 2, 0.5, 0.0]",chan,21,mode,HL,,0,,0,1,21,0,HL,2,0.25,0.5,10,0.0035,"[0.0, 1.0]",[1]
60,hc,DTasym_180214,0,618.153,1.302072,-0.413772,1.41854,1.04666,1.49925,1.49854,-84.0,661.0,1023.0,3006.0,3768.0,59.0,99.0,201.0,387.0,578.0,param,"[0.5, 0, 0.5, 0.5]",machan,10,mode,HL,,0,,0,1,0,10,HL,0,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
61,hc,DTvec_180214,54,633.186,1.2682492,-0.628421,1.33783,0.895958,1.60575,1.55251,-132.0,639.0,897.0,3208.0,3898.0,59.0,103.0,213.0,419.0,626.0,param,"[0.7, 1, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,1,0.7,0.5,10,0.0035,"[1.0, 0.0]",[1]
62,hc,DTvec_180214,49,642.221,1.1529764,0.161872,1.02506,0.802601,1.56731,1.5663,32.0,517.0,815.0,3140.0,3928.0,59.0,111.0,225.0,435.0,622.0,param,"[0.6, 1, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,1,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
63,hc,DTvec_180214,12,629.568,1.0331676,-0.334707,0.78628,0.800649,1.38913,1.3355,-68.0,377.0,797.0,2782.0,3358.0,55.0,99.0,193.0,383.0,578.0,param,"[0.7, 0, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,0,0.7,0.5,10,0.0035,"[1.0, 0.0]",[1]
64,hc,DTasym_180214,28,637.982,0.9723464,-1.21008,0.867834,0.566049,1.4309,1.51898,-256.0,419.0,571.0,2880.0,3834.0,67.0,115.0,233.0,439.0,630.0,param,"[0.5, 1, 0.5, 0.5]",machan,10,mode,HL,,0,,0,1,0,10,HL,1,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
65,hc,DTasym_180214,2,638.585,0.9145058,-0.535883,0.345465,0.733882,1.37965,1.42957,-110.0,173.0,741.0,2800.0,3630.0,59.0,111.0,209.0,403.0,606.0,param,"[0.5, 0, 0.5, 0.5]",machan,20,mode,HL,,0,,0,1,0,20,HL,0,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
66,hc,DTvec_180214,7,642.442,0.8574834,-0.134525,0.447883,0.601497,1.31827,1.28802,-26.0,231.0,611.0,2654.0,3248.0,59.0,111.0,213.0,411.0,598.0,param,"[0.6, 0, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,0,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
67,hc,DT4sp_180214,6,641.747,1.4073904,1.88612,1.26022,0.923426,1.96494,1.72759,344.0,639.0,937.0,3820.0,4218.0,163.0,307.0,625.0,1165.0,1698.0,param,"[0.6, 2, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
68,hc,DT4sp_180214,19,603.328,1.3314852,0.767242,2.04408,0.925623,1.38105,1.23216,134.0,923.0,883.0,2626.0,2936.0,89.0,161.0,339.0,639.0,920.0,param,"[0.8, 2, 0.5, 0.5]",machan,0,mode,TP,,0,,0,1,0,0,TP,2,0.8,0.5,10,0.0035,"[1.0, 0.0]",[1]
69,hc,DTsplit_180214,41,641.78,1.2532686,-0.123362,0.975583,1.25647,1.38891,1.49975,-26.0,497.0,1275.0,2828.0,3812.0,27.0,49.0,99.0,203.0,288.0,param,"[1.1, 0, 0.5, 0.5]",machan,20,mode,TP,,0,,0,1,0,20,TP,0,1.1,0.5,10,0.0035,"[1.0, 0.0]",[1]
70,hc,DTsplit_180214,40,644.709,1.248562,0.20837,1.29505,1.24095,1.23293,1.20791,44.0,655.0,1265.0,2528.0,3092.0,31.0,53.0,115.0,243.0,368.0,param,"[1.1, 0, 0.5, 0.5]",machan,20,mode,HL,,0,,0,1,0,20,HL,0,1.1,0.5,10,0.0035,"[1.0, 0.0]",[1]
